Theoretical_m/z,Composition,Glycan_class,H,N,F,Sialic-acid_state,Adduct,Glycan_Chemistries
2929.0835,H5N5F3Sm1Gm1,Bisected bi-antennary / Tri-antennary,5,5,3,all sialic acids methylamidated (Sm/Gm),[M+Na]+,Methylated
2929.0835,H6N5F2Sm2,Bisected bi-antennary / Tri-antennary,6,5,2,all sialic acids methylamidated (Sm/Gm),[M+Na]+,Methylated
2929.0835,H5N5F3Sd1Ga1,Bisected bi-antennary / Tri-antennary,5,5,3,Sa0 Sd1 Ga1 Gd0,[M+Na]+,SA
2929.0835,H5N5F3Sa1Gd1,Bisected bi-antennary / Tri-antennary,5,5,3,Sa1 Sd0 Ga0 Gd1,[M+Na]+,SA
2929.0835,H6N5F2Sa1Sd1,Bisected bi-antennary / Tri-antennary,6,5,2,Sa1 Sd1 Ga0 Gd0,[M+Na]+,SA
2930.0675,H6N8F2,Bisected penta-antennary,6,8,2,n/a (no sialic acid),[M+Na]+,Neutral
2930.9892,H5N5F3S2Na2,Bisected bi-antennary / Tri-antennary,5,5,3,underivatized + 2 extra Na (H→Na on free -COOH),[M+Na]+,Native Sialylated
2931.0628,H7N7Gd1,Bisected tetra-antennary / Penta-antennary,7,7,0,Sa0 Sd0 Ga0 Gd1,[M+Na]+,SA
2935.0342,H4N8F2G1Na1,Bisected penta-antennary,4,8,2,underivatized + 1 extra Na (H→Na on free -COOH),[M+Na]+,Native Sialylated
2935.0342,H5N8F1S1Na1,Bisected penta-antennary,5,8,1,underivatized + 1 extra Na (H→Na on free -COOH),[M+Na]+,Native Sialylated
2939.9767,H6N5S2G1Na1,Bisected bi-antennary / Tri-antennary,6,5,0,underivatized + 1 extra Na (H→Na on free -COOH),[M+Na]+,Native Sialylated
2940.0995,H4N8F2Gd1,Bisected penta-antennary,4,8,2,Sa0 Sd0 Ga0 Gd1,[M+Na]+,SA
2940.0995,H5N8F1Sd1,Bisected penta-antennary,5,8,1,Sa0 Sd1 Ga0 Gd0,[M+Na]+,SA
2940.9971,H6N5F2S1G1Na1,Bisected bi-antennary / Tri-antennary,6,5,2,underivatized + 1 extra Na (H→Na on free -COOH),[M+Na]+,Native Sialylated
2941.0948,H6N5Sm3,Bisected bi-antennary / Tri-antennary,6,5,0,all sialic acids methylamidated (Sm/Gm),[M+Na]+,Methylated
2941.1199,H5N5F3Sd2,Bisected bi-antennary / Tri-antennary,5,5,3,Sa0 Sd2 Ga0 Gd0,[M+Na]+,SA
2942.0788,H5N8F1Gm1,Bisected penta-antennary,5,8,1,all sialic acids methylamidated (Sm/Gm),[M+Na]+,Methylated
2942.0788,H6N8Sm1,Bisected penta-antennary,6,8,0,all sialic acids methylamidated (Sm/Gm),[M+Na]+,Methylated
2942.0788,H5N6F2Sa2,Bisected tri-antennary / Tetra-antennary,5,6,2,Sa2 Sd0 Ga0 Gd0,[M+Na]+,SA
2943.074,H6N5Sa1Sd1Ga1,Bisected bi-antennary / Tri-antennary,6,5,0,Sa1 Sd1 Ga1 Gd0,[M+Na]+,SA
2943.074,H6N5Sa2Gd1,Bisected bi-antennary / Tri-antennary,6,5,0,Sa2 Sd0 Ga0 Gd1,[M+Na]+,SA
2944.0468,H5N6F2S2,Bisected tri-antennary / Tetra-antennary,5,6,2,"underivatized, plain [M+Na]+",[M+Na]+,Native Sialylated
2944.058,H6N8Ga1,Bisected penta-antennary,6,8,0,Sa0 Sd0 Ga1 Gd0,[M+Na]+,SA
2944.0832,H5N6F4Sa1,Bisected tri-antennary / Tetra-antennary,5,6,4,Sa1 Sd0 Ga0 Gd0,[M+Na]+,SA
